Wall Serial Number,Test Serial Number,Specimen Name,Year_Appr,Section Type,t_w(mm),l_w(mm),A(mm?),h_w(mm),End Region,End stirrup,l_end(mm),l_web(mm),c(mm),fcu(MPa),fc∩(MPa),fct(Mpa),ft(Mpa),Web_V_Layers,Web_V1_Type,Web_V1_d(mm),Web_V1_Number,Web_V1_fy(Mpa),Web_V1_fu(Mpa),Web_V1_汍su,Web_V2_Type,Web_V2_d(mm),Web_V2_Number,Web_V2_fy(Mpa),Web_V2_fu(Mpa),Web_V2_汍su,Web_V_s(mm),Web_V_老,Web_H_Layers,Web_H1_Type,Web_H1_d(mm),Web_H1_fy(Mpa),Web_H1_fu(Mpa),Web_H1_汍su,Web_H2_Type,Web_H2_d(mm),Web_H2_fy(Mpa),Web_H2_fu(Mpa),Web_H2_汍su,Web_H_s(mm),Web_H_老,Web_H_老_other,Web_H_老_all,End_V_Layers,End_V1_Type,End_V1_d(mm),End_V1_Number,End_V1_fy(MPa),End_V1_fu(Mpa),End_V1_汍su,End_V2_Type,End_V2_d(mm),End_V2_Number,End_V2_fy(Mpa),End_V2_fu(Mpa),End_V2_汍su,End_V_老,Confine_Type,Conf_C_Type,Conf_C_Lx(mm),Conf_C_Asx(mm?),Conf_C_Ly(mm),Conf_C_Asy(mm?),Conf_C_s(mm),Conf_C_Acor(mm?),Conf_C_fy(Mpa),Conf_C_fu(Mpa),Conf_C_汍su,Conf_C_老v,Conf_C_老v_other,Conf_C_老v_all,Splice_Type,Splice_Base_Height,Splice_Length,h_load,Failure Mode,Specific_Failure,h_displacement,竹_Shear Span Ratio,P_Axial LoadㄗkNㄘ,n_(fc∩)Axial Load Ratio
SDB_R0050,SDBT_0011,SW1,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,190mm,870mm,22mm,24.38MPa,19.50MPa,2.17MPa,,2,Deformed,10mm,4,454.00MPa,,,,,,,,,450mm,0.00182,2,Deformed,10mm,454.00MPa,,,,,,,,315.0000mm,0.00252,,0.00254,2,Deformed,25mm,4,636.00MPa,,,Deformed,22mm,2,644.00MPa,,,0.08190,,,,,,,,,,,,,,,No,,,3375,S,DT,3375mm,2.700,0kN,0.0000
SDB_R0051,SDBT_0011,SW2,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,180mm,890mm,24mm,24.38MPa,19.50MPa,2.17MPa,,2,Deformed,10mm,4,454.00MPa,,,,,,,,,450mm,0.00178,2,Deformed,10mm,454.00MPa,,,,,,,,315.0000mm,0.00252,,0.00254,2,Deformed,22mm,6,644.00MPa,,,,,,,,,0.07168,,,,,,,,,,,,,,,No,,,3375,S,DT,3375mm,2.700,1080kN,0.2462
SDB_R0052,SDBT_0011,SW3,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,190mm,870mm,22mm,24.38MPa,19.50MPa,2.17MPa,,2,Deformed,10mm,4,540.00MPa,,,,,,,,,450mm,0.00182,2,Deformed,10mm,540.00MPa,,,,,,,,395.0000mm,0.00201,,0.00203,2,Deformed,25mm,6,636.00MPa,,,,,,,,,0.08889,,,,,,,,,,,,,,,No,,,3375,S,DT,3375mm,2.700,0kN,0.0000
SDB_R0053,SDBT_0011,SW4,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,190mm,870mm,22mm,24.38MPa,19.50MPa,2.17MPa,,2,Deformed,10mm,4,540.00MPa,,,,,,,,,450mm,0.00182,2,Deformed,10mm,540.00MPa,,,,,,,,395.0000mm,0.00201,,0.00203,2,Deformed,25mm,2,636.00MPa,,,Deformed,22mm,4,644.00MPa,,,0.07490,,,,,,,,,,,,,,,No,,,3375,S,DT,3375mm,2.700,1080kN,0.2462
SDB_R0054,SDBT_0011,SW5,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,180mm,890mm,24mm,46.38MPa,37.10MPa,3.34MPa,,2,Deformed,10mm,4,454.00MPa,,,,,,,,,450mm,0.00178,2,Deformed,10mm,454.00MPa,,,,,,,,315.0000mm,0.00252,,0.00254,2,Deformed,22mm,6,644.00MPa,,,,,,,,,0.07168,,,,,,,,,,,,,,,No,,,3375,S,DT,3375mm,2.700,1181kN,0.1415
SDB_R0055,SDBT_0011,SW6,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,190mm,870mm,22mm,46.38MPa,37.10MPa,3.34MPa,,2,Deformed,10mm,4,540.00MPa,,,,,,,,,450mm,0.00182,2,Deformed,10mm,540.00MPa,,,,,,,,395.0000mm,0.00201,,0.00203,2,Deformed,25mm,2,636.00MPa,,,Deformed,22mm,4,644.00MPa,,,0.07490,,,,,,,,,,,,,,,No,,,3375,S,DT,3375mm,2.700,1181kN,0.1415
SDB_R0056,SDBT_0011,FW1,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,160mm,930mm,24mm,20.63MPa,16.50MPa,1.94MPa,,2,Deformed,10mm,4,540.00MPa,,,,,,,,,450mm,0.00170,2,Deformed,10mm,540.00MPa,,,,,,,,395.0000mm,0.00201,,0.00203,2,Deformed,13mm,4,555.00MPa,,,Deformed,10mm,2,540.00MPa,,,0.02255,,,,,,,,,,,,,,,No,,,3375,F,FC,3375mm,2.700,0kN,0.0000
SDB_R0057,SDBT_0011,FW2,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,60mm,1130mm,24mm,20.63MPa,16.50MPa,1.94MPa,,2,Deformed,10mm,4,540.00MPa,,,,,,,,,450mm,0.00140,2,Deformed,10mm,540.00MPa,,,,,,,,395.0000mm,0.00201,,0.00203,2,Deformed,13mm,2,555.00MPa,,,,,,,,,0.02346,,,,,,,,,,,,,,,No,,,3375,F,FC,3375mm,2.700,1080kN,0.2909
SDB_R0058,SDBT_0011,FW3,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,Yes,300mm,650mm,24mm,20.63MPa,16.50MPa,1.94MPa,,2,Deformed,10mm,4,540.00MPa,,,,,,,,,450mm,0.00244,2,Deformed,10mm,540.00MPa,,,,,,,,395.0000mm,0.00201,,0.00203,2,Deformed,13mm,2,555.00MPa,,,Deformed,10mm,2,540.00MPa,,,0.00733,,Deformed,241mm,143mm?,130mm,143mm?,60mm,27896mm?,540.00MPa,,,0.031611,,0.03217,No,,,3375,F,FC,3375mm,2.700,1080kN,0.2909
SDB_R0059,SDBT_0011,FW4,2018,R,180mm,1250mm,225000mm?,3125mm,Yes,No,60mm,1130mm,24mm,20.63MPa,16.50MPa,1.94MPa,,2,Deformed,10mm,4,540.00MPa,,,,,,,,,450mm,0.00140,1,Deformed,10mm,490.00MPa,,,,,,,,540.0000mm,0.00073,,0.00076,2,Deformed,13mm,2,555.00MPa,,,,,,,,,0.02346,,,,,,,,,,,,,,,No,,,3375,F,FC,3375mm,2.700,0kN,0.0000
SDB_R0061,SDBT_0012,VK2,2010,R,350mm,1500mm,525000mm?,3300mm,Yes,No,70mm,1360mm,22mm,48.75MPa,39.00MPa,3.45MPa,,2,Deformed,14mm,20,515.00MPa,630.00MPa,0,,,,,,,130mm,0.00647,2,Deformed,6mm,518.00MPa,681.00MPa,0,,,,,,200.0000mm,0.00081,0.002154,0.00054,4,Deformed,14mm,4,515.00MPa,630.00MPa,0,,,,,,,0.02513,,,,,,,,,,,,,,,Lap Splice,0.00mm,600.00mm,3300,F,FC,3300mm,2.200,1300kN,0.0635
SDB_R0062,SDBT_0012,VK3,2010,R,350mm,1500mm,525000mm?,3300mm,Yes,No,60mm,1380mm,17mm,42.50MPa,34.00MPa,3.15MPa,,2,Deformed,14mm,34,515.00MPa,630.00MPa,0,,,,,,,80mm,0.01084,2,Deformed,6mm,518.00MPa,681.00MPa,0,,,,,,200.0000mm,0.00081,0.002154,0.00054,4,Deformed,14mm,4,515.00MPa,630.00MPa,0,,,,,,,0.02932,,,,,,,,,,,,,,,No,,,3300,S,DT,3300mm,2.200,1300kN,0.0728
SDB_R0060,SDBT_0012,VK1,2010,R,350mm,1500mm,525000mm?,3300mm,Yes,No,70mm,1380mm,22mm,43.75MPa,35.00MPa,3.21MPa,,2,Deformed,14mm,20,515.00MPa,630.00MPa,0,,,,,,,130mm,0.00637,2,Deformed,6mm,518.00MPa,681.00MPa,0,,,,,,200.0000mm,0.00081,0.002154,0.00054,4,Deformed,14mm,4,515.00MPa,630.00MPa,0,,,,,,,0.02513,,,,,,,,,,,,,,,No,,,3300,S,DT,3300mm,2.200,1300kN,0.0707
SDB_R0063,SDBT_0013,W1,2004,R,200mm,1200mm,240000mm?,4000mm,Yes,Yes,220mm,760mm,20mm,41.38MPa,33.10MPa,3.09MPa,3.08MPa,2,Deformed,11mm,6,464.40MPa,580.90MPa,,,,,,,,,0.00396,2,Deformed,11mm,464.40MPa,580.90MPa,,,,,,,250.0000mm,0.00401,,0.00401,2,Deformed,20mm,4,457.70MPa,630.30MPa,,,,,,,,0.02715,,Deformed,169mm,201mm?,149mm,201mm?,100mm,21627mm?,464.40MPa,580.90MPa,,0.029436,0.0147180211054499148277411873,0.01913,No,,,3750,F,FC,3700mm,3.125,600kN,0.0755
SDB_R0064,SDBT_0013,W2,2004,R,200mm,1200mm,240000mm?,4000mm,Yes,Yes,220mm,760mm,20mm,88.30MPa,70.64MPa,5.13MPa,5.71MPa,2,Deformed,11mm,6,464.40MPa,580.90MPa,,,,,,,,,0.00396,2,Deformed,11mm,464.40MPa,580.90MPa,,,,,,,215.0000mm,0.00466,,0.00476,2,Deformed,20mm,4,457.70MPa,630.30MPa,,,,,,,,0.02715,,Deformed,169mm,201mm?,149mm,201mm?,100mm,21627mm?,464.40MPa,580.90MPa,,0.029436,0.0147180211054499148277411873,0.01913,No,,,3750,F,FT,3700mm,3.125,600kN,0.0354
