Wall Serial Number,Test Serial Number,Specimen Name,Year_Appr,Section Type,t_w(mm),l_w(mm),A(mm?),h_w(mm),End Region,End stirrup,l_end(mm),l_web(mm),c(mm),fcu(MPa),fc∩(MPa),fct(Mpa),ft(Mpa),Web_V_Layers,Web_V1_Type,Web_V1_d(mm),Web_V1_Number,Web_V1_fy(Mpa),Web_V1_fu(Mpa),Web_V1_汍su,Web_V2_Type,Web_V2_d(mm),Web_V2_Number,Web_V2_fy(Mpa),Web_V2_fu(Mpa),Web_V2_汍su,Web_V_s(mm),Web_V_老,Web_H_Layers,Web_H1_Type,Web_H1_d(mm),Web_H1_fy(Mpa),Web_H1_fu(Mpa),Web_H1_汍su,Web_H2_Type,Web_H2_d(mm),Web_H2_fy(Mpa),Web_H2_fu(Mpa),Web_H2_汍su,Web_H_s(mm),Web_H_老,Web_H_老_other,Web_H_老_all,End_V_Layers,End_V1_Type,End_V1_d(mm),End_V1_Number,End_V1_fy(MPa),End_V1_fu(Mpa),End_V1_汍su,End_V2_Type,End_V2_d(mm),End_V2_Number,End_V2_fy(Mpa),End_V2_fu(Mpa),End_V2_汍su,End_V_老,Confine_Type,Conf_C_Type,Conf_C_Lx(mm),Conf_C_Asx(mm?),Conf_C_Ly(mm),Conf_C_Asy(mm?),Conf_C_s(mm),Conf_C_Acor(mm?),Conf_C_fy(Mpa),Conf_C_fu(Mpa),Conf_C_汍su,Conf_C_老v,Conf_C_老v_other,Conf_C_老v_all,Splice_Type,Splice_Base_Height,Splice_Length,h_load,Failure Mode,Specific_Failure,h_displacement,竹_Shear Span Ratio,P_Axial LoadㄗkNㄘ,n_(fc∩)Axial Load Ratio
SDB_R0085,SDBT_0019,2-SW01,2017,R,200mm,1600mm,320000mm?,2500mm,Yes,Yes,210mm,1180mm,15mm,45.39MPa,36.31MPa,3.29MPa,,2,Deformed,8mm,12,370.00MPa,567.00MPa,0,,,,,,,200mm,0.00256,2,Deformed,10mm,356.00MPa,542.00MPa,0,,,,,,200.0000mm,0.00393,,0.00408,2,Deformed,25mm,6,447.00MPa,601.00MPa,0,,,,,,,0.07012,,Deformed,172mm,101mm?,162mm,101mm?,100mm,26896mm?,381.00MPa,569.00MPa,0,0.012484,,0.01298,No,,,2400,S,WC,2400mm,1.500,,
SDB_R0086,SDBT_0020,SQ1,2017,R,100mm,2000mm,200000mm?,1660mm,No,No,,2000mm,15mm,28.15MPa,22.52MPa,2.39MPa,,1,Deformed,10mm,5,495.00MPa,735.00MPa,0,,,,,,,450mm,0.00177,1,Deformed,10mm,495.00MPa,735.00MPa,0,,,,,,360.0000mm,0.00197,,0.00213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1660,SS,,1660mm,0.830,0kN,0.0000
SDB_R0087,SDBT_0020,SQ1a,2017,R,100mm,2000mm,200000mm?,1660mm,No,No,,2000mm,15mm,11.88MPa,9.50MPa,1.35MPa,,1,Deformed,10mm,5,495.00MPa,735.00MPa,0,,,,,,,450mm,0.00177,1,Deformed,10mm,495.00MPa,735.00MPa,0,,,,,,360.0000mm,0.00197,,0.00213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1660,S,DT,1660mm,0.830,0kN,0.0000
SDB_R0088,SDBT_0020,SQ2,2017,R,125mm,2000mm,250000mm?,1660mm,Yes,Yes,225mm,1550mm,14mm,25.33MPa,20.26MPa,2.23MPa,,1,Deformed,10mm,5,495.00MPa,735.00MPa,0,,,,,,,300mm,0.00183,1,Deformed,10mm,495.00MPa,735.00MPa,0,,,,,,300.0000mm,0.00189,,0.00205,2,Deformed,10mm,4,495.00MPa,735.00MPa,0,,,,,,,0.01008,,Deformed,222mm,63mm?,122mm,63mm?,100mm,25006mm?,460.00MPa,660.00MPa,0,0.008723,,0.00883,No,,,1660,S,DC,1660mm,0.830,0kN,0.0000
SDB_R0089,SDBT_0021,CSRCW6,2009,R,100mm,1000mm,100000mm?,3000mm,Yes,Yes,190mm,620mm,7mm,63.50MPa,50.80MPa,4.11MPa,,2,Deformed,10mm,12,548.00MPa,622.00MPa,,,,,,,,100mm,0.01520,2,Deformed,8mm,479.00MPa,616.00MPa,,,,,,,150.0000mm,0.00670,,0.00341,2,Deformed,10mm,14,548.00MPa,622.00MPa,,,,,,,,0.05787,,,176mm,101mm?,86mm,101mm?,150mm,13104mm?,479.00MPa,616.00MPa,,0.013400,,0.01363,No,,,2600,F,FC,2600mm,2.600,100kN,0.0197
SDB_R0090,SDBT_0021,RCW-6,2017,R,100mm,1000mm,100000mm?,3000mm,Yes,Yes,190mm,620mm,7mm,47.29MPa,37.83MPa,3.38MPa,3.38MPa,2,Deformed,10mm,12,,,,,,,,,,100mm,0.01520,2,Deformed,8mm,,,,,,,,,150.0000mm,0.00670,,0.00341,2,Deformed,10mm,14,,,,,,,,,,0.05787,,Deformed,176mm,101mm?,86mm,151mm?,150mm,13104mm?,,,,0.015599,,0.01586,No,,,2600,F,FC,2600mm,2.600,100kN,0.0264
SDB_R0091,SDBT_0022,RWB,2017,R,125mm,2000mm,250000mm?,2000mm,Yes,Yes,360mm,1280mm,14mm,51.63MPa,41.30MPa,3.58MPa,,2,Deformed,10mm,12,330.00MPa,460.00MPa,0,,,,,,,210mm,0.00589,2,Deformed,10mm,330.00MPa,460.00MPa,0,,,,,,150.0000mm,0.00838,,0.00880,2,Deformed,12mm,10,334.00MPa,509.00MPa,0,,,,,,,0.02513,,Plain,318mm,87mm?,83mm,113mm?,55mm,24024mm?,411.00MPa,506.00MPa,0,0.027946,,0.02843,No,,,2443,F,FT+OP,2443mm,1.222,438kN,0.0424
SDB_R0092,SDBT_0022,RWT,2017,R,135mm,2000mm,270000mm?,2000mm,Yes,Yes,360mm,1280mm,14mm,43.13MPa,34.50MPa,3.18MPa,,2,Deformed,10mm,12,330.00MPa,460.00MPa,0,,,,,,,210mm,0.00545,2,Deformed,10mm,330.00MPa,460.00MPa,0,,,,,,150.0000mm,0.00776,,0.00880,2,Deformed,12mm,10,334.00MPa,509.00MPa,0,,,,,,,0.02327,,Plain,318mm,87mm?,83mm,113mm?,55mm,24024mm?,411.00MPa,506.00MPa,0,0.027946,,0.02843,No,,,2443,F,FC-OP,2443mm,1.222,438kN,0.0470
SDB_R0093,SDBT_0022,RWL,2017,R,125mm,1600mm,200000mm?,2000mm,Yes,Yes,310mm,980mm,21mm,43.50MPa,34.80MPa,3.20MPa,,2,Deformed,12mm,12,334.00MPa,509.00MPa,0,,,,,,,150mm,0.01108,2,Deformed,10mm,330.00MPa,460.00MPa,0,,,,,,150.0000mm,0.00838,,0.00880,2,Deformed,16mm,8,366.00MPa,478.00MPa,0,,,,,,,0.04151,,Plain,268mm,79mm?,91mm,113mm?,60mm,22270mm?,,,,0.023614,,0.02409,No,,,2443,,OP,2443mm,1.222,438kN,0.0629
SDB_R0094,SDBT_0023,WSH1,2006,R,150mm,2000mm,300000mm?,4030mm,Yes,Yes,200mm,1600mm,14mm,56.25MPa,45.00MPa,3.80MPa,,2,Plain,6mm,24,583.60MPa,600.70MPa,0,,,,,,,125mm,0.00283,2,Plain,6mm,583.60MPa,600.70MPa,0,,,,,,150.0000mm,0.00251,,0.00253,2,Deformed,10mm,6,547.30MPa,619.90MPa,0,,,,,,,0.01571,,Plain,,,,,,,,,,,0.012925960,,Lap Splice,1700.00mm,480.00mm,4560,,,4560mm,2.280,689kN,0.0510
SDB_R0095,SDBT_0023,WSH2,2006,R,150mm,2000mm,300000mm?,4030mm,Yes,Yes,200mm,1600mm,14mm,50.63MPa,40.50MPa,3.54MPa,,2,Deformed,6mm,24,484.90MPa,534.50MPa,0,,,,,,,125mm,0.00283,2,Deformed,6mm,484.90MPa,534.50MPa,0,,,,,,150.0000mm,0.00251,,0.00253,2,Deformed,10mm,6,583.10MPa,747.40MPa,0,,,,,,,0.01571,,Plain,,,,,,,,,,,0.013297968,,Lap Splice,1700.00mm,480.00mm,4560,,,4560mm,2.280,691kN,0.0569
SDB_R0096,SDBT_0023,WSH3,2006,R,150mm,2000mm,300000mm?,4030mm,Yes,Yes,260mm,1480mm,18mm,49.00MPa,39.20MPa,3.46MPa,,2,Deformed,8mm,22,569.20MPa,700.20MPa,0,,,,,,,125mm,0.00498,2,Deformed,6mm,489.00MPa,552.20MPa,0,,,,,,150.0000mm,0.00251,,0.00253,2,Deformed,12mm,6,601.00MPa,725.50MPa,0,,,,,,,0.01740,,Plain,,,,,,,,,,,0.0115406,,Lap Splice,1700.00mm,480.00mm,4560,,,4560mm,2.280,686kN,0.0583
SDB_R0097,SDBT_0023,WSH4,2006,R,150mm,2000mm,300000mm?,4030mm,Yes,No,260mm,1480mm,18mm,51.13MPa,40.90MPa,3.56MPa,,2,Deformed,8mm,22,583.70MPa,714.40MPa,0,,,,,,,125mm,0.00498,2,Deformed,6mm,518.90MPa,558.70MPa,0,,,,,,150.0000mm,0.00251,,0.00253,2,Deformed,12mm,6,576.00MPa,674.90MPa,0,,,,,,,0.01740,,,,,,,,,,,,,,,Lap Splice,1700.00mm,480.00mm,4560,,,4560mm,2.280,695kN,0.0566
SDB_R0098,SDBT_0023,WSH5,2006,R,150mm,2000mm,300000mm?,4030mm,Yes,Yes,260mm,1480mm,22mm,47.88MPa,38.30MPa,3.41MPa,,2,Deformed,6mm,20,518.90MPa,558.70MPa,0,,,,,,,140mm,0.00255,2,Deformed,6mm,518.90MPa,558.70MPa,0,,,,,,150.0000mm,0.00251,,0.00253,2,Deformed,8mm,6,583.70MPa,714.40MPa,0,,,,,,,0.00773,,Plain,212mm,42mm?,102mm,55mm?,50mm,20384mm?,562.20MPa,615.00MPa,0,0.014376,,,Lap Splice,1700.00mm,480.00mm,4560,,,4560mm,2.280,1474kN,0.1283
SDB_R0099,SDBT_0023,WSH6,2006,R,150mm,2000mm,300000mm?,4030mm,Yes,Yes,385mm,1230mm,18mm,57.00MPa,45.60MPa,3.83MPa,,2,Deformed,8mm,18,583.70MPa,714.40MPa,0,,,,,,,125mm,0.00490,2,Deformed,6mm,518.90MPa,558.70MPa,0,,,,,,150.0000mm,0.00251,,0.00253,2,Deformed,12mm,6,576.00MPa,674.90MPa,0,Deformed,8mm,2,583.70MPa,714.40MPa,0,0.01349,,Plain,,,,,,,,,,,0.0184238,,Lap Splice,1700.00mm,480.00mm,4520,,,4520mm,2.260,1476kN,0.1079
